corruption,severity,accuracy,macro_f1,backbone
clean,none,0.9962962962962963,0.9962958389924682,resnet18_primary
motion_blur,mild,0.6518518518518519,0.5650728571002748,resnet18_primary
motion_blur,moderate,0.46296296296296297,0.38567115730776474,resnet18_primary
motion_blur,severe,0.3037037037037037,0.20765253620460308,resnet18_primary
gaussian_noise,mild,0.9592592592592593,0.9593436461739353,resnet18_primary
gaussian_noise,moderate,0.42962962962962964,0.3674831162279135,resnet18_primary
gaussian_noise,severe,0.2851851851851852,0.1888397343184577,resnet18_primary
low_light,mild,0.9777777777777777,0.9778396474272667,resnet18_primary
low_light,moderate,0.8962962962962963,0.9009018471833633,resnet18_primary
low_light,severe,0.5962962962962963,0.5635117792548114,resnet18_primary
overexposure,mild,0.9037037037037037,0.9036618749303527,resnet18_primary
overexposure,moderate,0.5777777777777777,0.5552337750934286,resnet18_primary
overexposure,severe,0.1962962962962963,0.10286790927523193,resnet18_primary
jpeg_compression,mild,0.9962962962962963,0.9962958389924682,resnet18_primary
jpeg_compression,moderate,0.9703703703703703,0.9699373116624169,resnet18_primary
jpeg_compression,severe,0.6851851851851852,0.6635516102417286,resnet18_primary
rain_streak,mild,0.9740740740740741,0.9740167411994038,resnet18_primary
rain_streak,moderate,0.7074074074074074,0.6947666979553216,resnet18_primary
rain_streak,severe,0.5740740740740741,0.5396042521297838,resnet18_primary
defocus_blur,mild,0.9814814814814815,0.981424148606811,resnet18_primary
defocus_blur,moderate,0.7481481481481481,0.7386740897975562,resnet18_primary
defocus_blur,severe,0.36666666666666664,0.28667169968797007,resnet18_primary
